PreMECA 1.0
Edificio_de_tres_pisos
Metros	Kg
37      60      11      1       1       3       2       1       0       3       0       0		0
1       1       12
1       2       13
1       3       14
1       4       15
1       5       16
1       6       17
1       7       18
1       8       19
1       9       20
1       10      21
1       11      22
1       13      23
1       14      24
1       15      25
1       17      26
1       18      27
1       19      28
1       20      29
1       21      30
1       22      31
1       24      32
1       25      33
1       27      34
1       28      35
1       30      36
1       31      37
2       33      35
2       35      37
2       32      33
2       34      35
2       36      37
2       32      34
2       34      36
2       25      28
2       28      31
2       24      25
2       27      28
2       30      31
2       24      27
2       27      30
2       23      24
2       26      27
2       29      30
2       23      26
2       26      29
2       15      19
2       19      22
2       14      15
2       18      19
2       21      22
2       14      18
2       18      21
2       13      14
2       17      18
2       20      21
2       13      17
2       17      20
2       12      13
2       16      17
2       12      16
20      0       0
12      0       0
6       0       0
0       0       0
20      5       0
12      5       0
6       5       0
0       5       0
12      10      0
6       10      0
0       10      0
20      0       3
12      0       3
6       0       3
0       0       3
20      5       3
12      5       3
6       5       3
0       5       3
12      10      3
6       10      3
0       10      3
12      0       6
6       0       6
0       0       6
12      5       6
6       5       6
0       5       6
12      10      6
6       10      6
0       10      6
6       0       9
0       0       9
6       5       9
0       5       9
6       10      9
0       10      9
1       1       1       1       0       0       0
2       1       1       1       0       0       0
3       1       1       1       0       0       0
4       1       1       1       0       0       0
5       1       1       1       0       0       0
6       1       1       1       0       0       0
7       1       1       1       0       0       0
8       1       1       1       0       0       0
9       1       1       1       0       0       0
10      1       1       1       0       0       0
11      1       1       1       0       0       0
2.4e9   .09     6.75e-4  2320
2.4e9   .08     1.067e-3  2320 
Solo_peso_propio
0       0       0      0       0       1
